"","sampleID","purified_concentration","experiment","tissue","DNA_ext_date","special_char","plantID","plant_trt","orig_soil","oil_added","table","block","sampling_period","season","stem_ht","stem_diam","num_nodes","num_stems_live","num_stems_outside","num_infl","total_mass_infl","avg_mass_infl","pH","conductivity","Leaf_percent_N","Leaf_percent_C","duke_sampleID","Leaf_C.N","Root_percent_N","Root_percent_C","Root_C.N","mass_ag_i","mass_ag_o","mass_bg_i","mass_bg_o","mass_dead","mass_live_total","dead_live_ratio","Hopanes","total_relevant_PAHs","Total.Naph.","Total.Dibenz.","Total.Phenan.","Total.Chrys.","naph_WR","dibenz_WR","phen_WR","Treatment","seq_count"
"R68-J18","S5_R68_J18",7.51,"S5","Root","2019-07-10","Exp. Sample","68","Y","Prev-Oiled Inoc.","No Oil Added","1","4","J18","Non-Growing",44.36,4.205,4,109,14,NA,NA,NA,7.28,0.68,NA,NA,"R68-J18",NA,0.5684012473,37.51023293,65.992523957644,123.79,6.53,212.99,20.89,118.65,364.2,0.325782537067545,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Prev-Oiled Inoc.",1039
"R69-J17","S5_R69_J17",7,"S5","Root","2019-07-10","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","J17","Non-Growing",73.475,5.251,7,49,NA,NA,NA,NA,7.19,3.12,NA,NA,"R69-J17",NA,0.5451671481,36.24645233,66.486860876201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R69-J18","S5_R69_J18",6,"S5","Root","2019-07-10","Exp. Sample","69","Y","Prev-Oiled Inoc.","Oil Added","1","4","J18","Non-Growing",68.135,4.86,5,68,28,NA,NA,NA,7.38,0.6,NA,NA,"R69-J18",NA,0.4786236882,37.72091866,78.8112239113367,127.55,28.04,151.95,78.11,122.1,385.65,0.31660832360949,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Prev-Oiled Inoc.",1039
"R8-J18","S5_R08_J18",6.01,"S5","Root","2019-06-18","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","J18","Non-Growing",67.425,4.815,5,93,7,NA,NA,NA,7.38,0.61,NA,NA,"R8-J18",NA,0.4251374006,27.4213829,64.5000483638936,169.32,1.12,257.46,13.72,232.76,441.62,0.527059462886645,0.6,3.1757,0.1503,2.0251,0.2303,0.77,0.163316309898946,0.724517906336088,0.230230930720784,"No Oil Added ; Not Prev-Oiled Inoc",1039
"R8-N17","S5_R08_N17",6.56,"S5","Root","2019-07-10","Exp. Sample","8","Y","Not Prev-Oiled Inoc","No Oil Added","3","1","N17","Growing",93.65,5.835,11,53,NA,9,2.74,0.304444444444444,7.81,2.54,NA,NA,"R8-N17",NA,0.4447642565,38.7665844,87.1620950502348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No Oil Added ; Not Prev-Oiled Inoc",1039
"R9-J17","S5_R09_J17",5.94,"S5","Root","2019-07-10","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","J17","Non-Growing",59.625,4.4575,4,59,NA,NA,NA,NA,6.94,2.86,NA,NA,"R9-J17",NA,0.6505508721,34.63684845,53.2423365111957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"R9-J18","S5_R09_J18",5.34,"S5","Root","2019-06-18","Exp. Sample","9","Y","Not Prev-Oiled Inoc","Oil Added","4","1","J18","Non-Growing",43.85,3.51,4,74,30,NA,NA,NA,8.04,0.66,NA,NA,"R9-J18",NA,0.5204717517,30.10464191,57.8410678613588,103.9,7.1,187,38.6,143.85,336.6,0.427361853832442,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oil Added ; Not Prev-Oiled Inoc",1039
"S19-J17","S5_S19_J17",3.67,"S5","Soil","2018-11-06","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","J17","Non-Growing",54.75,4.6525,5,58,NA,NA,NA,NA,6.98,1.77,NA,NA,"S19-J17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.9009,0.1203,0.0102,4e-04,0.77,0.135122992249803,0.0130735708792617,0.000519210799584631,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S19-J18","S5_S19_J18",4.95,"S5","Soil","2018-11-19","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","J18","Non-Growing",41.06,3.5925,3,121,18,NA,NA,NA,6.78,0.8,NA,NA,"S19-J18",NA,NA,NA,NA,107.5,1.4,142.17,26.63,70.2,277.7,0.252790781418797,0.06,2.0407,0.5202,0.0201,4e-04,1.5,0.257499257499258,0.0132228142885336,0.000266595574513463,"No Oil Added ; Not Prev-Oiled Inoc",1039
"S19-N16","S5_S19_N16",5.89,"S5","Soil","2018-10-24","Exp. Sample","19","Y","Not Prev-Oiled Inoc","No Oil Added","2","3","N16","Growing",42.164,3.01333333333333,6,33,NA,0,0,0,6.9,1.88,NA,NA,"S19-N16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.0212,0.0103,0.0102,4e-04,3e-04,0.971698113207547,0.971428571428571,0.571428571428571,"No Oil Added ; Not Prev-Oiled Inoc",1039
